Product Name,Category,Menu,Image Filename,Description,Price,Payment Method,Bank,Account Name,Account Number,Business Name,Business Type,Address,Phone,Fulfillment,Business Name,Business Type,Address,Phone,Fulfillment
RAF Hand Mixer,Kitchen Items,Kitchen & Cookware,IMG-20260825-WA0003.webp,Hand mixer with stainless-steel bowl; model R.6637.,17000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF Electric Pressure Cooker 6L 1000W,Kitchen Items,Kitchen & Cookware,IMG-20260825-WA0004.webp,"Electric pressure cooker; 6L capacity, 1000W.",66500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
GDTIMES Rechargeable Table Fan with Solar Panel,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0005.webp,Rechargeable fan shown with solar panel; exact price not supplied for this image.,,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Food Processor / Yam Pounder,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0007.webp,Food processor/yam pounder; image matched to the supplied 5L food processor price.,16500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
Toilet Rack,Household Items,Home Organization,IMG-20260825-WA0008.webp,Bathroom/toilet storage rack.,16000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 4L 8-in-1 Electric Blender 800W,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0009.webp,"RAF electric blender, 4L, 8-in-1, 800W.",59000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF Coffee Bean Grinder 80W,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0010.webp,"RAF coffee bean grinder, 80W.",11000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
GDTIMES 12-Inch Solar Rechargeable Fan,Household Items,Home & Household,IMG-20260825-WA0011.webp,12-inch rechargeable fan with solar panel.,37000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 2.0L Electric Kettle R.7816,Kitchen Items,Kitchen & Cookware,IMG-20260825-WA0012.webp,RAF R.7816 electric kettle; 2.0L.,9500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF Foldable Travel Steam Iron,Household Items,Home & Household,IMG-20260825-WA0013.webp,Foldable travel steam iron.,13500,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
RAF 8L 1000W Food Processor / Yam Pounder R.7731,Kitchen Items,Kitchen Tools & Accessories,IMG-20260825-WA0014.webp,"RAF R.7731 food processor; 8L, 1000W. No exact supplied price matched confidently.",,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
"RAF 25L 3-in-1 Electric Oven, Air Fryer & Toaster",Kitchen Items,Kitchen & Cookware,IMG-20260825-WA0015.webp,"RAF 25L electric oven, air fryer and toaster.",126000,Bank Transfer,Wema Bank,Flakiesals Ventures,0231534026,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery,Flakiesals Ventures,Countertop Store / Kitchen Supply Store,"OWO NI BOYS, 157 Off Otunola Adebayo Rd, Ilorin 240101, Kwara, Nigeria",0814 507 9572,In-store Pickup; Delivery
